cisp;mes;ano;mes_ano;aisp;risp;munic;mcirc;regiao;hom_doloso;lesao_corp_morte;latrocinio;cvli;hom_por_interv_policial;letalidade_violenta;tentat_hom;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;roubo_transeunte;roubo_celular;roubo_em_coletivo;roubo_rua;roubo_veiculo;roubo_carga;roubo_comercio;roubo_residencia;roubo_banco;roubo_cx_eletronico;roubo_conducao_saque;roubo_apos_saque;outros_roubos;total_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;outros_furtos;total_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;recuperacao_veiculos;apf;aaapai;cmp;cmba;ameaca;pessoas_desaparecidas;encontro_cadaver;encontro_ossada;pol_militares_mortos_serv;pol_civis_mortos_serv;registro_ocorrencias;fase
39;2;2020;2020-02-01;41;2;Rio de Janeiro;3304557;Capital;5;0;1;6;8;14;13;32;7;4;10;170;39;100;309;231;30;2;1;0;0;0;1;94;668;13;11;3;7;41;75;0;0;0;31;8;0;8;0;179;18;4;11;5;24;4;0;0;0;0;1451;3
40;2;2020;2020-02-01;9;2;Rio de Janeiro;3304557;Capital;1;0;0;1;3;4;3;26;7;0;9;97;16;27;140;76;2;0;0;0;0;0;0;37;255;5;7;3;5;33;53;0;1;0;19;6;0;6;0;23;23;2;2;2;26;5;0;0;0;0;506;3
41;2;2020;2020-02-01;18;2;Rio de Janeiro;3304557;Capital;1;0;0;1;0;1;1;26;2;1;19;36;14;5;55;9;0;4;0;0;0;0;2;6;76;5;9;15;11;55;95;0;0;0;46;0;0;0;0;4;10;0;9;1;46;2;0;0;0;0;437;3
42;2;2020;2020-02-01;31;2;Rio de Janeiro;3304557;Capital;2;0;0;2;0;2;0;62;3;0;18;29;12;8;49;14;0;8;0;0;0;0;3;13;87;37;6;15;25;148;240;0;1;0;68;32;30;2;0;4;12;3;14;0;59;1;0;0;0;0;771;3
43;2;2020;2020-02-01;27;2;Rio de Janeiro;3304557;Capital;2;0;0;2;0;2;1;85;7;2;28;26;17;4;47;5;3;1;0;0;0;0;0;4;60;18;9;8;15;41;91;0;0;2;11;3;1;2;0;5;16;0;4;0;91;4;2;0;0;0;446;3
44;2;2020;2020-02-01;3;1;Rio de Janeiro;3304557;Capital;1;0;1;2;0;2;1;27;2;0;28;60;25;10;95;33;3;3;1;0;0;0;0;31;166;4;3;2;12;46;68;0;0;0;15;2;1;1;0;15;22;0;6;1;16;2;0;0;0;0;389;3
48;2;2020;2020-02-01;24;3;Seropédica;3305554;Baixada Fluminense;3;0;0;3;0;3;1;23;1;2;2;11;10;3;24;10;6;0;0;0;0;0;0;9;49;9;0;1;3;21;34;0;1;0;7;4;2;2;0;6;16;0;11;0;28;4;0;0;0;0;245;3
50;2;2020;2020-02-01;24;3;Itaguaí;3302007;Baixada Fluminense;5;1;0;6;1;7;5;64;5;1;13;27;9;2;38;14;1;2;1;0;0;0;1;8;65;15;7;1;7;37;67;0;1;0;15;4;0;3;1;12;14;5;17;0;50;5;1;0;0;0;352;3
51;2;2020;2020-02-01;24;3;Paracambi;3303609;Baixada Fluminense;3;0;0;3;0;3;1;15;0;1;7;2;1;0;3;0;0;1;0;0;0;0;0;2;6;2;0;1;2;4;13;0;0;0;4;8;3;5;0;2;12;1;1;0;16;3;0;0;0;0;113;3
52;2;2020;2020-02-01;20;3;Nova Iguaçu;3303500;Baixada Fluminense;1;0;0;1;0;1;1;55;4;1;35;78;47;38;163;43;2;7;0;0;1;0;4;12;232;20;22;5;7;74;128;0;0;0;59;16;14;2;0;18;31;2;35;2;42;5;0;0;0;0;705;3
